# Samenstelling huishoudens per gemeente (2020)
# Bron: CBS - https://opendata.cbs.nl/statline/#/CBS/nl/dataset/71486NED/table?fromstatweb
# Kolommen:
#   Totaal particuliere huishoudens (aantal)
#   eenpersoonshuishouden (aantal)
#   Totaal meerpersoonshuishoudens (aantal)
#   Totaal niet-gehuwde paren (aantal)
#   Totaal gehuwde paren (aantal)
#   Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)
#   Meerpersoonshuishouden/2 personen (aantal)
#   Meerpersoonshuishouden/3 personen (aantal)
#   Meerpersoonshuishouden/4 personen (aantal)
#   Meerpersoonshuishouden/5 of meer personen (aantal)
Gemeente,Jaar,nHH,n1PHH,nMPHH,nPaarNietGehuwd,nPaarGehuwd,nEenOuder,n2PHH,n3pHH,n4PHH,n5PHH
Ooststellingwerf,2020,11255.0,3700.0,7555.0,1402.0,5316.0,802.0,4298.0,1274.0,1403.0,580.0
Ootmarsum,2020,,,,,,,,,,
Opsterland,2020,12582.0,3863.0,8719.0,1669.0,6226.0,784.0,4625.0,1507.0,1745.0,842.0
Pekela,2020,5547.0,1831.0,3716.0,743.0,2500.0,460.0,2115.0,734.0,631.0,236.0
Raalte,2020,15670.0,4442.0,11228.0,2118.0,8242.0,800.0,5934.0,1739.0,2484.0,1071.0
Reiderland,2020,,,,,,,,,,
Rijssen,2020,,,,,,,,,,
Rijssen-Holten,2020,14326.0,3656.0,10670.0,1040.0,8858.0,721.0,4761.0,1830.0,2288.0,1791.0
Scheemda,2020,,,,,,,,,,
Schiermonnikoog,2020,538.0,278.0,260.0,51.0,187.0,22.0,171.0,45.0,32.0,12.0
Skarsterlân,2020,,,,,,,,,,
Slochteren,2020,,,,,,,,,,
Smallingerland,2020,25025.0,9065.0,15960.0,2976.0,10920.0,1973.0,8591.0,2926.0,3031.0,1412.0
Sneek,2020,,,,,,,,,,
Stad Delden,2020,,,,,,,,,,
Stadskanaal,2020,14594.0,5180.0,9414.0,1625.0,6746.0,996.0,5418.0,1690.0,1642.0,664.0
Staphorst,2020,5962.0,1458.0,4504.0,288.0,3923.0,264.0,1836.0,716.0,870.0,1082.0
Steenwijk,2020,,,,,,,,,,
Steenwijkerland,2020,19361.0,6368.0,12993.0,2273.0,9459.0,1185.0,7068.0,2209.0,2529.0,1187.0
Súdwest-Fryslân,2020,39929.0,13982.0,25947.0,5295.0,17909.0,2615.0,14093.0,4403.0,4962.0,2489.0
Terschelling,2020,2550.0,1220.0,1330.0,320.0,869.0,128.0,812.0,231.0,214.0,73.0
Tubbergen,2020,8159.0,2072.0,6087.0,950.0,4714.0,394.0,2723.0,986.0,1544.0,834.0
Twenterand,2020,13184.0,3426.0,9758.0,1322.0,7535.0,863.0,4590.0,1734.0,2197.0,1237.0
Tynaarlo,2020,14306.0,4209.0,10097.0,2121.0,7056.0,892.0,5452.0,1785.0,2094.0,766.0
Tytsjerksteradiel,2020,13639.0,4227.0,9412.0,1643.0,6915.0,825.0,5109.0,1549.0,1897.0,857.0
Urk,2020,6346.0,1266.0,5080.0,96.0,4670.0,271.0,1563.0,805.0,991.0,1721.0
Veendam,2020,12654.0,4415.0,8239.0,1589.0,5567.0,1044.0,4673.0,1570.0,1514.0,482.0
Vlagtwedde,2020,,,,,,,,,,
Vlieland,2020,643.0,337.0,306.0,73.0,202.0,26.0,198.0,50.0,40.0,18.0
Vriezenveen,2020,,,,,,,,,,
Waadhoeke,2020,20299.0,6793.0,13506.0,2651.0,9464.0,1332.0,7430.0,2324.0,2559.0,1193.0
Weerselo,2020,,,,,,,,,,
Westerkwartier,2020,26371.0,7648.0,18723.0,3503.0,13458.0,1673.0,9575.0,3401.0,3964.0,1783.0
Westerveld,2020,8728.0,2832.0,5896.0,1039.0,4412.0,426.0,3511.0,941.0,1042.0,402.0
Westerwolde,2020,11205.0,3648.0,7557.0,1346.0,5465.0,703.0,4552.0,1325.0,1190.0,490.0
Weststellingwerf,2020,11356.0,3638.0,7718.0,1502.0,5438.0,739.0,4307.0,1329.0,1429.0,653.0
Wierden,2020,9633.0,2430.0,7203.0,988.0,5642.0,530.0,3484.0,1185.0,1648.0,886.0
Wijhe,2020,,,,,,,,,,
Winschoten,2020,,,,,,,,,,
Winsum,2020,,,,,,,,,,
De Wolden,2020,10201.0,2861.0,7340.0,1311.0,5460.0,544.0,4007.0,1171.0,1461.0,701.0
Wûnseradiel,2020,,,,,,,,,,
Wymbritseradiel,2020,,,,,,,,,,
Zeewolde,2020,9668.0,3110.0,6558.0,1112.0,4754.0,662.0,3143.0,1334.0,1434.0,647.0
Zuidhorn,2020,,,,,,,,,,
Zwartewaterland,2020,8565.0,2174.0,6391.0,557.0,5359.0,447.0,2948.0,1098.0,1293.0,1052.0
Zwartsluis,2020,,,,,,,,,,
Zwolle,2020,60093.0,24770.0,35323.0,8617.0,22180.0,4260.0,18452.0,6419.0,7316.0,3136.0
Aalten,2020,11513.0,3465.0,8048.0,1579.0,5786.0,656.0,4304.0,1388.0,1590.0,766.0
Abcoude,2020,,,,,,,,,,
Amerongen,2020,,,,,,,,,,
Amersfoort,2020,69226.0,25429.0,43797.0,9592.0,28503.0,5393.0,21182.0,8677.0,9715.0,4223.0
Angerlo,2020,,,,,,,,,,
Apeldoorn,2020,73518.0,26565.0,46953.0,8882.0,32521.0,5309.0,25447.0,8679.0,9198.0,3629.0
Arnhem,2020,81399.0,39296.0,42103.0,11735.0,23113.0,6675.0,22906.0,8326.0,7843.0,3028.0
Baarn,2020,11099.0,4217.0,6882.0,1410.0,4645.0,790.0,3700.0,1256.0,1381.0,545.0
Barneveld,2020,22392.0,6318.0,16074.0,1732.0,13127.0,1120.0,7214.0,2786.0,3208.0,2866.0
Bemmel,2020,,,,,,,,,,
Berg en Dal,2020,15785.0,5427.0,10358.0,2066.0,7211.0,1027.0,5819.0,1940.0,1949.0,650.0
Bergh,2020,,,,,,,,,,
Berkelland,2020,18830.0,5652.0,13178.0,2365.0,9717.0,1027.0,7219.0,2204.0,2702.0,1053.0
Beuningen,2020,11209.0,3259.0,7950.0,1604.0,5558.0,760.0,4165.0,1636.0,1637.0,512.0
De Bilt,2020,19259.0,7144.0,12115.0,2404.0,8324.0,1307.0,6264.0,2128.0,2554.0,1169.0
Borculo,2020,,,,,,,,,,
Breukelen,2020,,,,,,,,,,
Bronckhorst,2020,15479.0,4369.0,11110.0,2199.0,8077.0,760.0,6232.0,1842.0,2183.0,853.0
Brummen,2020,9036.0,2652.0,6384.0,1102.0,4710.0,553.0,3633.0,1107.0,1232.0,412.0
Bunnik,2020,6433.0,1969.0,4464.0,882.0,3209.0,356.0,2259.0,756.0,1054.0,395.0
Bunschoten,2020,8370.0,2159.0,6211.0,529.0,5226.0,434.0,2702.0,1180.0,1435.0,894.0
Buren,2020,11053.0,2834.0,8219.0,1495.0,6021.0,673.0,4281.0,1636.0,1569.0,733.0
Culemborg,2020,12614.0,4226.0,8388.0,1692.0,5722.0,925.0,4250.0,1626.0,1749.0,763.0
Didam,2020,,,,,,,,,,
Dinxperlo,2020,,,,,,,,,,
Dodewaard,2020,,,,,,,,,,
Doesburg,2020,5223.0,1878.0,3345.0,534.0,2375.0,418.0,1952.0,627.0,565.0,201.0
Doetinchem,2020,25891.0,9077.0,16814.0,3562.0,11337.0,1819.0,9038.0,3073.0,3486.0,1217.0
Doorn,2020,,,,,,,,,,
Driebergen-Rijsenburg,2020,,,,,,,,,,
Druten,2020,7880.0,2214.0,5666.0,1166.0,3904.0,566.0,2944.0,1082.0,1209.0,431.0
Duiven,2020,10664.0,2969.0,7695.0,1331.0,5556.0,783.0,3963.0,1527.0,1682.0,523.0
Echteld,2020,,,,,,,,,,
Ede,2020,49444.0,16993.0,32451.0,4850.0,24655.0,2700.0,16189.0,5867.0,6141.0,4254.0
Eemnes,2020,3958.0,1219.0,2739.0,545.0,1875.0,308.0,1385.0,519.0,603.0,232.0
Eibergen,2020,,,,,,,,,,
Elburg,2020,9128.0,2471.0,6657.0,723.0,5413.0,491.0,3210.0,1182.0,1375.0,890.0
Elst,2020,,,,,,,,,,
Epe,2020,14212.0,4334.0,9878.0,1489.0,7544.0,802.0,5403.0,1671.0,1924.0,880.0
Ermelo,2020,11291.0,3840.0,7451.0,968.0,5814.0,645.0,3944.0,1259.0,1399.0,849.0
Geldermalsen,2020,,,,,,,,,,
Gendringen,2020,,,,,,,,,,
Gendt,2020,,,,,,,,,,
Gorssel,2020,,,,,,,,,,
Groenlo,2020,,,,,,,,,,
Groesbeek,2020,,,,,,,,,,
Harderwijk,2020,20531.0,6781.0,13750.0,2315.0,9867.0,1487.0,6767.0,2574.0,2970.0,1439.0
Harmelen,2020,,,,,,,,,,
Hattem,2020,5084.0,1484.0,3600.0,470.0,2846.0,266.0,1851.0,620.0,723.0,406.0
Heerde,2020,7670.0,2017.0,5653.0,699.0,4548.0,384.0,3029.0,973.0,1130.0,521.0
Hengelo (Gld.),2020,,,,,,,,,,
Heteren,2020,,,,,,,,,,
Heumen,2020,7145.0,2212.0,4933.0,890.0,3577.0,452.0,2642.0,906.0,1003.0,382.0
Houten,2020,20265.0,5540.0,14725.0,2688.0,10488.0,1508.0,6791.0,2922.0,3577.0,1435.0
Huissen,2020,,,,,,,,,,
Hummelo en Keppel,2020,,,,,,,,,,
IJsselstein,2020,14374.0,4416.0,9958.0,1961.0,6672.0,1279.0,4715.0,2109.0,2325.0,809.0
Kesteren,2020,,,,,,,,,,
Leersum,2020,,,,,,,,,,
Leusden,2020,13040.0,3967.0,9073.0,1511.0,6674.0,851.0,4776.0,1609.0,1972.0,716.0
Lichtenvoorde,2020,,,,,,,,,,
Lingewaal,2020,,,,,,,,,,
Lingewaard,2020,19606.0,5367.0,14239.0,2769.0,10093.0,1328.0,7469.0,2587.0,3204.0,979.0
Lochem,2020,14787.0,4536.0,10251.0,1851.0,7623.0,735.0,5927.0,1648.0,1911.0,765.0
Loenen,2020,,,,,,,,,,
Loosdrecht,2020,,,,,,,,,,
Lopik,2020,5647.0,1488.0,4159.0,743.0,3050.0,345.0,1912.0,751.0,974.0,522.0
Maarn,2020,,,,,,,,,,
Maarssen,2020,,,,,,,,,,
Maartensdijk,2020,,,,,,,,,,
Maasdriel,2020,10591.0,3206.0,7385.0,1513.0,5182.0,641.0,3724.0,1388.0,1613.0,660.0
Millingen aan de Rijn,2020,,,,,,,,,,
Montferland,2020,15677.0,4582.0,11095.0,2090.0,7958.0,968.0,6078.0,2149.0,2159.0,709.0
Montfoort,2020,5648.0,1587.0,4061.0,760.0,2925.0,362.0,1973.0,690.0,936.0,462.0
Neder-Betuwe,2020,9146.0,2490.0,6656.0,719.0,5353.0,550.0,2997.0,1274.0,1223.0,1162.0
Neede,2020,,,,,,,,,,
Neerijnen,2020,,,,,,,,,,
Nieuwegein,2020,29328.0,10773.0,18555.0,3743.0,12338.0,2351.0,9935.0,3719.0,3637.0,1264.0
Nijkerk,2020,17448.0,4976.0,12472.0,1763.0,9673.0,993.0,5937.0,2251.0,2785.0,1499.0
Nijmegen,2020,96644.0,52250.0,44394.0,13829.0,23502.0,6313.0,25295.0,8228.0,7899.0,2972.0
Nunspeet,2020,10934.0,3127.0,7807.0,806.0,6379.0,579.0,3816.0,1391.0,1423.0,1177.0
Oldebroek,2020,9157.0,2265.0,6892.0,643.0,5762.0,449.0,3280.0,1253.0,1435.0,924.0
Oost Gelre,2020,12428.0,3665.0,8763.0,1968.0,6114.0,625.0,4684.0,1439.0,1861.0,779.0
Oude IJsselstreek,2020,17079.0,5384.0,11695.0,2198.0,8426.0,996.0,6290.0,2072.0,2422.0,911.0
Oudewater,2020,4265.0,1307.0,2958.0,649.0,2034.0,265.0,1465.0,540.0,624.0,329.0
Overbetuwe,2020,19734.0,5267.0,14467.0,2692.0,10249.0,1462.0,7288.0,2763.0,3227.0,1189.0
Putten,2020,9606.0,2618.0,6988.0,771.0,5627.0,551.0,3466.0,1174.0,1437.0,911.0
Renkum,2020,14566.0,5388.0,9178.0,1757.0,6456.0,923.0,5484.0,1497.0,1602.0,595.0
Renswoude,2020,2089.0,530.0,1559.0,197.0,1258.0,99.0,710.0,277.0,329.0,243.0
Rheden,2020,21128.0,8644.0,12484.0,2417.0,8498.0,1502.0,7268.0,2269.0,2178.0,769.0
Rhenen,2020,8286.0,2563.0,5723.0,820.0,4383.0,474.0,2922.0,1002.0,1107.0,692.0
Rijnwaarden,2020,,,,,,,,,,
De Ronde Venen,2020,19125.0,5857.0,13268.0,2618.0,9193.0,1396.0,6747.0,2680.0,2767.0,1074.0
Rozendaal,2020,688.0,143.0,545.0,92.0,426.0,27.0,291.0,81.0,131.0,42.0
Ruurlo,2020,,,,,,,,,,
Scherpenzeel,2020,3960.0,1165.0,2795.0,352.0,2237.0,198.0,1348.0,484.0,567.0,396.0
Soest,2020,20636.0,7120.0,13516.0,2502.0,9533.0,1417.0,7047.0,2511.0,2768.0,1190.0
Steenderen,2020,,,,,,,,,,
Stichtse Vecht,2020,28236.0,9145.0,19091.0,3997.0,13000.0,2008.0,9690.0,3749.0,4134.0,1518.0
Tiel,2020,18726.0,6840.0,11886.0,2217.0,8119.0,1482.0,6024.0,2356.0,2416.0,1090.0
Ubbergen,2020,,,,,,,,,,
Utrecht (gemeente),2020,181670.0,92312.0,89358.0,31967.0,45536.0,10215.0,45591.0,16779.0,18323.0,8665.0
Utrechtse Heuvelrug,2020,21590.0,7650.0,13940.0,2469.0,10132.0,1271.0,7482.0,2357.0,2773.0,1328.0
Valburg,2020,,,,,,,,,,
Veenendaal,2020,28021.0,9156.0,18865.0,2601.0,14201.0,1937.0,9405.0,3398.0,3836.0,2226.0
Vianen,2020,,,,,,,,,,
Vijfheerenlanden,2020,23339.0,6793.0,16546.0,2698.0,12121.0,1619.0,8271.0,3131.0,3394.0,1750.0
Vleuten-De Meern,2020,,,,,,,,,,
Voorst,2020,10149.0,2795.0,7354.0,1363.0,5427.0,513.0,4029.0,1191.0,1479.0,655.0
Vorden,2020,,,,,,,,,,
Wageningen,2020,22676.0,13717.0,8959.0,2219.0,5640.0,968.0,5060.0,1600.0,1641.0,658.0
Warnsveld,2020,,,,,,,,,,
Wehl,2020,,,,,,,,,,
West Betuwe,2020,20513.0,5302.0,15211.0,2555.0,11347.0,1243.0,7646.0,2799.0,3161.0,1605.0
West Maas en Waal,2020,8303.0,2403.0,5900.0,1204.0,4203.0,458.0,3185.0,1091.0,1203.0,421.0
Westervoort,2020,6697.0,2033.0,4664.0,874.0,3168.0,605.0,2589.0,998.0,827.0,250.0
Wijchen,2020,17729.0,5390.0,12339.0,2331.0,8689.0,1260.0,6481.0,2291.0,2655.0,912.0
Wijk bij Duurstede,2020,10096.0,2813.0,7283.0,1336.0,5211.0,700.0,3819.0,1363.0,1533.0,568.0
Winterswijk,2020,12772.0,4310.0,8462.0,1592.0,6000.0,827.0,4620.0,1502.0,1663.0,677.0
Wisch,2020,,,,,,,,,,
Woerden,2020,21873.0,6805.0,15068.0,3047.0,10458.0,1484.0,7362.0,2790.0,3329.0,1587.0
Woudenberg,2020,5135.0,1372.0,3763.0,447.0,2996.0,300.0,1799.0,634.0,781.0,549.0
Zaltbommel,2020,11862.0,3628.0,8234.0,1240.0,6145.0,804.0,4060.0,1515.0,1628.0,1031.0
Zeist,2020,29324.0,11977.0,17347.0,3600.0,11504.0,2118.0,8856.0,3110.0,3605.0,1776.0
Zelhem,2020,,,,,,,,,,
Zevenaar,2020,19850.0,6537.0,13313.0,2620.0,9191.0,1436.0,7526.0,2401.0,2625.0,761.0
Zutphen,2020,22046.0,8587.0,13459.0,2720.0,8835.0,1833.0,7425.0,2516.0,2494.0,1024.0
Aalsmeer,2020,13182.0,3836.0,9346.0,1940.0,6383.0,974.0,4374.0,1911.0,2313.0,748.0
Akersloot,2020,,,,,,,,,,
Alkmaar,2020,52179.0,21177.0,31002.0,7395.0,19038.0,4364.0,16846.0,5964.0,6039.0,2153.0
Amstelveen,2020,43485.0,18685.0,24800.0,4571.0,16796.0,3229.0,11847.0,5620.0,5512.0,1821.0
Amsterdam,2020,475368.0,258962.0,216406.0,73988.0,97165.0,40383.0,122266.0,43536.0,33081.0,17523.0
Andijk,2020,,,,,,,,,,
Anna Paulowna,2020,,,,,,,,,,
Beemster,2020,4041.0,1075.0,2966.0,632.0,2065.0,256.0,1450.0,563.0,689.0,264.0
Bennebroek,2020,,,,,,,,,,
Bergen (NH.),2020,13836.0,5142.0,8694.0,1613.0,6096.0,943.0,5091.0,1492.0,1531.0,580.0
Beverwijk,2020,19072.0,7287.0,11785.0,2580.0,7466.0,1648.0,5964.0,2498.0,2465.0,858.0
Blaricum,2020,4944.0,1499.0,3445.0,642.0,2466.0,323.0,1734.0,704.0,706.0,301.0
Bloemendaal,2020,9765.0,3074.0,6691.0,1170.0,4885.0,621.0,3399.0,1048.0,1493.0,751.0
Bussum,2020,,,,,,,,,,
Castricum,2020,15778.0,5199.0,10579.0,2103.0,7486.0,945.0,5593.0,1836.0,2344.0,806.0
Diemen,2020,15640.0,7456.0,8184.0,2174.0,4590.0,1294.0,4307.0,1783.0,1555.0,539.0
Drechterland,2020,8201.0,2286.0,5915.0,1120.0,4257.0,514.0,3078.0,1028.0,1197.0,612.0
Edam-Volendam,2020,14854.0,4189.0,10665.0,1769.0,7987.0,869.0,5142.0,1842.0,2739.0,942.0
Egmond,2020,,,,,,,,,,
Enkhuizen,2020,8622.0,3248.0,5374.0,1017.0,3648.0,686.0,2980.0,990.0,1026.0,378.0
Gooise Meren,2020,25914.0,9960.0,15954.0,3576.0,10363.0,1925.0,7710.0,2984.0,3572.0,1688.0
Graft-De Rijp,2020,,,,,,,,,,
's-Graveland,2020,,,,,,,,,,
Haarlem,2020,78171.0,34100.0,44071.0,12686.0,24927.0,6044.0,22547.0,8933.0,9150.0,3441.0
Haarlemmerliede en Spaarnwoude,2020,,,,,,,,,,
Haarlemmermeer,2020,65732.0,20213.0,45519.0,8836.0,30836.0,5579.0,21090.0,9980.0,10942.0,3507.0
Harenkarspel,2020,,,,,,,,,,
Heemskerk,2020,17342.0,5777.0,11565.0,2152.0,7955.0,1400.0,6146.0,2215.0,2393.0,811.0
Heemstede,2020,12019.0,4410.0,7609.0,1482.0,5315.0,780.0,3867.0,1350.0,1664.0,728.0
Heerhugowaard,2020,23770.0,7151.0,16619.0,3261.0,11292.0,1994.0,8074.0,3226.0,3788.0,1531.0
Heiloo,2020,10770.0,3801.0,6969.0,1285.0,5027.0,635.0,3749.0,1169.0,1493.0,558.0
Den Helder,2020,27069.0,11030.0,16039.0,2744.0,10827.0,2392.0,9377.0,3095.0,2635.0,932.0
Hilversum,2020,42697.0,17714.0,24983.0,5935.0,15557.0,3300.0,12793.0,5049.0,5156.0,1985.0
Hollands Kroon,2020,21042.0,6640.0,14402.0,2709.0,10338.0,1304.0,7663.0,2583.0,2885.0,1271.0
Hoorn,2020,33162.0,12151.0,21011.0,4622.0,13150.0,3119.0,10740.0,4303.0,4372.0,1596.0
Huizen,2020,18470.0,6459.0,12011.0,2026.0,8473.0,1447.0,6469.0,2252.0,2324.0,966.0
Koggenland,2020,9318.0,2647.0,6671.0,1355.0,4731.0,565.0,3326.0,1124.0,1499.0,722.0
Landsmeer,2020,4855.0,1385.0,3470.0,697.0,2329.0,430.0,1690.0,763.0,787.0,230.0
Langedijk,2020,11727.0,3233.0,8494.0,1698.0,5897.0,867.0,4349.0,1531.0,1882.0,732.0
Laren (NH.),2020,4996.0,1842.0,3154.0,577.0,2200.0,363.0,1724.0,526.0,623.0,281.0
Limmen,2020,,,,,,,,,,
Medemblik,2020,19044.0,5840.0,13204.0,2618.0,9301.0,1222.0,6802.0,2345.0,2759.0,1298.0
Muiden,2020,,,,,,,,,,
Naarden,2020,,,,,,,,,,
Nederhorst den Berg,2020,,,,,,,,,,
Niedorp,2020,,,,,,,,,,
Noorder-Koggenland,2020,,,,,,,,,,
Obdam,2020,,,,,,,,,,
Oostzaan,2020,4084.0,1141.0,2943.0,556.0,2057.0,320.0,1403.0,686.0,675.0,179.0
